01:p0121 => I. PIETER DE CARPENTIER, WILLEM JANSZ en JACQUES SPECX,  BATAVIA, 1 fe ... 
01:p0126 => II. PIETER DE CARPENTIER EN RADEN, BATAVIA 24 februari 1623.  
01:p0129 => III. PIETER DE CARPENTIER, EREDERICK DE HOUTMAN, JACOB  DEDEL, DR. MAR ... 
01:p0131 => IV PIETER DE CARPENTIER, FREDERICK DE HOUTMAN, JACOB  DEDEL, DR. MARTI ... 
01:p0148 => V. PIETER DE CARPENTIER, JACOB DEDEL, Dr. MARTINUS SONCK,  JACQUES SPE ... 
01:p0152 => VI. PIETER DE CARPENTIER, JACQUES SPECX, Dr. PIETER VLACK  EN ANTONIO  ... 
01:p0172 => VII. PIETER DE CARPENTIER EN RADEN, BATAVIA 13 augustus 1625.  
01:p0173 => VII a. PIETER DE CARPENTIER EN RADEN, BATAVIA 13 september  1625.  
01:p0174 => VIII. PIETER DE CARPENTIER, JACQUES SPECX, DR. PIETER  VLACK EN ANTONI ... 
01:p0184 => IX. PIETER DE CARPENTIER, JACQUES SPECX, DR. PIETER VLACK  EN ANTONIO  ... 
01:p0203 => X. PIETER DE CARPENTIER EN RADEN, BATAVIA 15 februari 1626.
01:p0204 => XI. PIETER DE CARPENTIER, JACQUES SPECX, DR. PIETER VLACK  EN ANTONIO  ... 
01:p0234 => XII. PIETER DE CARPENTIER, JACQUES SPECX, DR. PIETER VLACK,  ANTONIO V ... 
01:p0235 => XIII. PIETER DE CARPENTIER, WIJBRANT SCHRAM, JACQUES  SPECX, DR. PIETE ... 
01:p0239 => XIV. PIETER DE CARPENTIER EN RADEN, Batavia 2 februari 1627 *).  
01:p0240 => XV. PIETER DE CARPENTIER, Batavia 29 juli 1627 ').  
01:p0244a => I. JAN PIETERSZ. COEN, PIETER DE CARPENTIER, JACQUES SPECX,  PIETER VA ... 
01:p0244b => II. JAN PIETERSZ. COEN, PIETER VAN DUYNEN, ANTONIO VAN   DIEMEN EN JER ... 
01:p0244c => III. JAN PIETERSZ. COEN, PIETER VAN DUYNEN, ANTONIO VAN   DIEMEN EN JE ... 
01:p0244d => IV. JAN PIETERSZ. COEN, PIETER VAN DUYNEN, ANTONIO VAN   DIEMEN EN JER ... 
01:p0244e => V. JAN PIETERSZ. COEN, WILLEM JANSZ., JACQUES LEFEBVRE,  JAN VAN GORCO ... 
01:p0244f => VI. JAN PIETERSZ. COEN, DR. PIETER VLACK EN ANTONIO VAN  DIEMEN, Batav ... 
01:p0244g => VII. JAN PIETERSZ. COEN, DR. PIETER VLACK EN ANTONIO VAN  DIEMEN, Bata ... 
01:p0244h => VIII. JAN PIETERSZ. COEN, DR. PIETER VLACK EN ANTONIO VAN  DIEMEN, Bat ... 
01:p0247 => I. JACQUES SPECX, Dr. PIETER VLACK, ANTONIO VAN DIEMEN,  PIETER NUYTS  ... 
01:p0279 => II. JACQUES SPECX, DR. PIETER VLACK, ANTONIO VAN DIEMEN  EN JAN VAN DE ... 
01:p0302 => III. ANTONIO VAN DIEMEN, IN HET SCHIP DEVENTER NABIJ DE  ZUIDPUNT VAN  ... 
01:p0303 => IV. JACQUES SPECX, DR. PIETER VLACK, JAN VAN DER BURCH EN  ARENT GARDE ... 
01:p0331 => I. HENRICK BROUWER, DR. PIETER VLACK EN JAN VAN DER  BURCH, Batavia 1  ... 
