 head.rend=bold	3
 head.rend=large	118
 head.rend=large bold	3
 head.rend=large indent	2
 head.rend=outdent	1
 head.rend=right	1
 head.rend=small	26
 head.rend=small bold	1
 hi.rend=emphasis	4442
 hi.rend=large	601
 hi.rend=small	868
 hi.rend=small-caps	327
 hi.rend=xlarge	5
 hi.rend=xsmall	38
 note.rend=bold	57
 note.rend=bold indent	21
 note.rend=bold small	23
 note.rend=bold super	8
 note.rend=center	8
 note.rend=indent	124
 note.rend=indent bold	130
 note.rend=indent bold large	2
 note.rend=indent bold small	8
 note.rend=indent small	29
 note.rend=indent xsmall	1
 note.rend=italic	472
 note.rend=italic bold	2
 note.rend=italic bold large	20
 note.rend=italic bold small	7
 note.rend=italic bold xlarge	1
 note.rend=italic bold xsmall	1
 note.rend=italic center	53
 note.rend=italic center large	7
 note.rend=italic center small	2
 note.rend=italic center xsmall	68
 note.rend=italic indent	5235
 note.rend=italic indent bold	23
 note.rend=italic indent bold large	100
 note.rend=italic indent bold small	73
 note.rend=italic indent large	7778
 note.rend=italic indent small	7346
 note.rend=italic large	128
 note.rend=italic outdent	9
 note.rend=italic outdent large	2
 note.rend=italic right	87
 note.rend=italic right bold	1
 note.rend=italic right bold large	3
 note.rend=italic right bold small	34
 note.rend=italic right large	22
 note.rend=italic right small	1
 note.rend=italic right xsmall	74
 note.rend=italic small	53
 note.rend=italic smallcaps center xsmall	1
 note.rend=italic smallcaps right small	1
 note.rend=italic sub	1
 note.rend=italic sub indent	2
 note.rend=italic sub indent small	4
 note.rend=italic super	2
 note.rend=italic super indent small	1
 note.rend=italic xsmall	217
 note.rend=large	783
 note.rend=large bold	33
 note.rend=large bold right	24
 note.rend=large bold super	1
 note.rend=large center	7
 note.rend=large indent	84
 note.rend=large italic	1388
 note.rend=large italic bold	4
 note.rend=large italic indent	21
 note.rend=large italic right	101
 note.rend=large italic smallcaps	1
 note.rend=large outdent	45
 note.rend=large right	197
 note.rend=large smallcaps	9
 note.rend=large smallcaps indent	2
 note.rend=large smallcaps right	1
 note.rend=large super	3
 note.rend=large underline	1
 note.rend=outdent	84
 note.rend=outdent bold	1
 note.rend=outdent large	7
 note.rend=outdent small	1
 note.rend=right	70
 note.rend=small	6863
 note.rend=small bold	6
 note.rend=small bold indent	4
 note.rend=small bold right	1
 note.rend=small center	23
 note.rend=small indent	4518
 note.rend=small italic	831
 note.rend=small italic indent	24
 note.rend=small italic right	81
 note.rend=small outdent	1
 note.rend=small right	118
 note.rend=small smallcaps	1
 note.rend=smallcaps	3
 note.rend=smallcaps bold large	1
 note.rend=smallcaps indent	5
 note.rend=smallcaps indent large	1
 note.rend=super	250
 note.rend=super bold	5
 note.rend=super outdent	4
 note.rend=super right	1
 note.rend=xlarge	3
 note.rend=xlarge bold	19
 note.rend=xlarge center	1
 note.rend=xlarge italic	1
 note.rend=xlarge italic right	2
 note.rend=xlarge right	1
 note.rend=xsmall	56
 note.rend=xsmall bold	2
 note.rend=xsmall center	3
 note.rend=xsmall italic	722
 note.rend=xsmall italic center	1
 note.rend=xsmall right	13
 p.rend=bold	51
 p.rend=bold indent	2
 p.rend=bold large	4
 p.rend=bold right	7
 p.rend=bold small	6
 p.rend=center	14
 p.rend=indent	7399
 p.rend=indent bold	36
 p.rend=indent bold large	157
 p.rend=indent bold small	5
 p.rend=indent large	89
 p.rend=indent small	6
 p.rend=italic	21
 p.rend=italic bold	2
 p.rend=italic indent	38
 p.rend=italic indent bold	1
 p.rend=italic indent large	2
 p.rend=italic indent small	30
 p.rend=italic large	5
 p.rend=italic right	1
 p.rend=italic small	2
 p.rend=italic sub indent	1
 p.rend=italic underline	2
 p.rend=italic xsmall	1
 p.rend=large	2070
 p.rend=large bold	47
 p.rend=large bold indent	3
 p.rend=large bold right	6
 p.rend=large center	2
 p.rend=large indent	3564
 p.rend=large italic	13
 p.rend=large italic super	1
 p.rend=large outdent	22
 p.rend=large right	117
 p.rend=large smallcaps	9
 p.rend=large underline	12
 p.rend=large underline center	2
 p.rend=large underline right	6
 p.rend=outdent	140
 p.rend=outdent bold	5
 p.rend=outdent bold large	1
 p.rend=outdent large	53
 p.rend=outdent small	6
 p.rend=right	327
 p.rend=small	531
 p.rend=small bold	16
 p.rend=small bold indent	1
 p.rend=small bold right	1
 p.rend=small indent	662
 p.rend=small italic	8
 p.rend=small italic bold	7
 p.rend=small outdent	4
 p.rend=small right	47
 p.rend=super	1
 p.rend=underline	7
 p.rend=underline large	1
 p.rend=underline right	1
 p.rend=xlarge	1
 p.rend=xlarge bold	1
 p.rend=xsmall	10
 p.rend=xsmall italic	2
body..	523
cell..	20556
folio..	2525
head..	434
header..	523
hi..	4069
lb..	462943
meta.key=author	521
meta.key=day	518
meta.key=month	517
meta.key=page	523
meta.key=pid	489
meta.key=place	62
meta.key=rawdate	521
meta.key=seq	523
meta.key=title	523
meta.key=year	518
meta.value=x	4715
note..	403
note.place=inline	25065
note.resp=editor	25105
note.type=editorial-summary	25065
p..	15665
p.resp=int_paragraph_joining	2619
pb.facs=n_nnn_nnnn	5865
pb.facs=nnn_nnn	3194
pb.facs=nnn_nnnn	1090
pb.n=n	111
pb.n=nn	1163
pb.n=nnn	8784
pb.n=nnnn	91
pb.tpl=n	10149
pb.vol=nn	10149
row..	4550
sub..	102
subhead..	1343
super..	9750
table..	321
teiTrim..	523
und..	415
