body..	589
cell..	20556
folio..	2525
head..	434
header..	589
hi..	4069
lb..	462943
meta.key=author	587
meta.key=authorFull	66
meta.key=day	584
meta.key=month	583
meta.key=page	589
meta.key=pid	489
meta.key=place	128
meta.key=rawdate	587
meta.key=rest	1
meta.key=seq	589
meta.key=status	6
meta.key=title	589
meta.key=year	584
meta.value=x	5382
note..	403
note.place=inline	25065
note.resp=editor	25105
note.type=editorial-summary	25065
p..	18277
pb.facs=n_nnn_nnnn	5865
pb.facs=nnn_nnn	3194
pb.facs=nnn_nnnn	1090
pb.n=n	111
pb.n=nn	1163
pb.n=nnn	8784
pb.n=nnnn	91
pb.tpl=n	10149
pb.vol=nn	10149
row..	4550
sub..	102
subhead..	1343
super..	9750
table..	321
teiTrim..	589
und..	415
