body..	52
cell.col=n	679
cell.col=nn	36
cell.n=n	361
cell.n=nn	354
cell.row=n	499
cell.row=nn	216
emph..	447
folio..	289
head..	52
header..	52
lb..	32198
meta.key=author	52
meta.key=authorFull	52
meta.key=day	52
meta.key=month	52
meta.key=page	52
meta.key=pid	52
meta.key=place	52
meta.key=rawdate	52
meta.key=seq	52
meta.key=status	52
meta.key=title	52
meta.key=year	52
meta.value=x	624
note..	1971
para..	4060
pb.facs=n_nnn_nnnn	829
pb.n=n	9
pb.n=nn	90
pb.n=nnn	730
pb.tpl=n	829
pb.vol=nn	829
ref..	652
remark..	2594
row.n=n	87
row.n=nn	55
row.row=n	104
row.row=nn	38
special..	10
super..	1716
table.n=n	9
table.n=nn	4
teiTrim..	52
und..	3
